Date,Opinion
24-10-2018,"The first feature which everyone looks for while buying a car is safety. Without safety no one will ever look to buy a new car. Let me list down the features which is required to buy a new car. As a beginner you should know what things are needed:

Check for the engines whether they are in a perfect condition
Check for how fast can this car go and the fuel capacity of vehicle
Check for the transmission as the gear operates automatically or manually depending on your needs
Ask for whether the warranty depends on number of years or kilometers driven and whether it can be extended or not
Check if the reverse camera or sensor is pre-installed or not
Confirm for any freebies or add-ons with dealer while buying a car"
03-04-2018,"While purchasing a car the following points are to be considered:

1.The on road price (including life tax,comprehensive insurance and other

taxes and expenditure)

2.Ground clearance of the car,as the humps on the road are unscientific,pot holes,conditions of the Bangalore BBMP road.Minimum of 200 cms are required

3.Length of the car to be considered for easy parking in the city areas.

4.Fuel efficiency i.e KMPL is to beconsidred

5.Safety feature like air bags,cross bars,breaking efficiency,EBD,uphill breaking and ABS are to be considered

6.Interior comforts,smoothness of the car, visibility and dashboard comforts are to be considered.

7. Take a test drive of different cars as per your financial affordability,compare the driving comforts,breaking efficiency etc.

8.Finally nearness of the service station to your house,for easy servicing shall be

worth considering"
25-05-2020,"I like sleeper cars(blends in with the public, but has much more power than it appears). The first thing I look for in a car is the engine. It must be powerful and it must be a proven engine, typically one used in a sports car or pickup. The next thing I look for is a 4 door vehicle with lots of leg and cargo space that has that ideal engine. Fortunately for me these types of cars go cheap on the used market as the market has moved away from sedans and wagons. So I usually end up buying one that is loaded and less than 4 years old for a bargain."
28-11-2019,"The most important thing to consider when looking at buying a car is your budget. You may want that gorgeous Bentley Mulsanne to glide you to work everyday, but you might only be able to afford this: After you determine how much you are willing to spend, consider some of the following questions:

How many people do you need/ want to fit in your car on a regular basis?
Do you want sit higher from the ground as in an SUV or do you want the low center of gravity found in most sedans and coupes.
How much trunk space do you need/ would you prefer a hatch or wagon?
Do you care if it’s performance oriented or do you just want to get around?
Would you rather a used and more luxurious car or a new and less luxurious car of equal price?
How long do you need the car to last? Should you pick the reliable and sensible option over the fun car that needs new parts every 5,000 miles?"
10-03-2019,"I would consider the following.

Type Of Car

Obviously you can't head over to showrooms or dealerships without knowing what you want

Practicality

Choose a Car which suits your work and the amount of load you would've to take everyday or every weekend. if you're having a family but want to have fun and go to grocery or mall every weekend, choose a Hot hatch (ex- Suzuki Swift) or a sport sedan (ex- Hyundai Genesis)

Fun

If you want only fun and do not care about the leg room, safety etc. You might want to go for a Sport Sedan or maybe a sports car.

Affordability

You need not to be a millionaire to afford a Nissan GTR or maybe a Mercedes GTS. Only thing you need to find is a trusted car dealing website where such cars are being sold for almost half price and only a decent amount of Kms driven.

Reliability

If you live in a country where Tata or Audis or etc. Are rare, expensive to maintain and find spare parts and planning to Buy one of those, then make up your mind because you'll spend your life importing the spare parts At a reasonably high price due to taxes ."
05-10-2017,"There is an awesome article in team-bhp for the same and I follow the same whener me or my friends are taking the delivery of a car. You can check below for the same.

ARTICLE: Pre-delivery Inspection (PDI) & Check List - Team-BHP

If you are mainly asking for buying a car (not delivery) you can consider the following aspects.

Of course, budget - at what max you can spend on a car.
List out different models that comes in the budget that you want
Test drive all the cars without any hesitation
Lookout different options like ABS, Airbags definitely for safety purposes.
Resale value of the car in future
Availability of services centers, parts of the car in nearby area you live.
If you opting for a loan, check with different bank interest rates as well."
28-04-2018,"We must keep following things in our mind.

Make sure that the car is not involved in any illegal activity.
Check the documents property.
Make sure the engine number of car is same as mentioned in the documents.
The car must be best according to our needs.
Don't buy too old models.
Check the engine condition.
Don't pay too high.
Pay according to the condition of the body, AC, engine, clutch plate and tyres.
Don't be too quick in buying an old car. It's not easy to find a good condition vehicle in a short period of time.
Prefer local area number car.
If you don't have good knowledge of vehicle, then first let a good mechanic check the car that you think of buying."
28-11-2017,"Criteria will obviously vary widely from one buyer to another, but for me personally…

Must have a lot of interior space. Enough to camp in, haul cargo, motorcycles and people with. This usually means a full-size van.
Must have enough power to pull a trailer with. This usually means a larger V8 engine.
Must not be too expensive. This usually means a used vehicle.
Must not have any body rust.
Should be easy to work on myself.
Should have good fuel capacity for decent range.
Should have a good service record, low miles and no accidents.
Finally, I lean towards things that are unique in appearance, but still cool in their own way."
31-01-2020,"Intended use for the vehicle
- Personal budget for the vehicle
- The vehicle’s reliability
- Expected maintenance over the lifetime of the vehicle
- Comfort
- Desired features (features can include fuel economy, type of interior, safety features, driving features, electric motor, etc)

I purposely did not mention safety as vehicles these days meet the necessary requirements to be safely driven on the road. Though your desired features may and can include additional safety measures."
07-04-2019,"Price..Brand…Color…Condition…Decide your price range…Decide the brand you think you want..Decide on several color options…(Never buy a dark colored vehicle)…Watch for condition…First glance look at tires, look at control pedals, steering wheel condition…mis-matched paint textures, color….dents…rust…if these items look good pop the hood and look closely for oil and anti-freeze leaks…I always look underneath at all costs(dirty knees?)…Finally test drive…if in doubt axe to take it in to a dealer for a “condition check”…usually $100."
30-10-2019,"To get a car it is important to take certain criteria under consideration. The automobile industry right now is at a rapid pace where the auto sector contributes 7.1 % of countries' whole GDP. As new cars are in demand soo much to get it more offerable to some people the used car market is growing widely too.
Some factors you have to consider while buying a car are-

Check out the interior of the car, the fabric and other features like the navigation system, USB port connection, storage space, etc. Make sure that you check the odometer. Check out the exterior of the car the panels, doors, glass, etc. Examine every aspect of the car before you take the key in your hand. Check out the engines.
Once you have inspected the car correctly take it for a spin. When you take for a test drive you would know the power of your car, the comforts and whether you should consider buying or go for a second choice."
19-04-2019,"Share are factors:

Reliability
Enough space (but I don't need a SUV)
Reasonable price (not over priced like Audi, BMW or Mercedes)
Well equipped
Comfortable
What are not factors:

Resale value ( I keep my cars for a long time=10 years)
Prestige: I have had Audi A6, BMW 530, Mercedes C-Class, but now I have a Hyundai and am very satisfied.
Sportiness: As long as it does up to 180 km/h and keeps up with the traffic, that's good enough for me."
23-05-2019,"I just about always buy used. I am not hung up on having a new car and they lose too much of their value in the first year.

First and foremost long term reliability. I do not replace a car until it is good and done and I want that to be at least 200K miles. Starting with a reliable car is important and that usually means a Toyota or a Honda though some other cars meet that criterion.

Second it cannot be too big. That is just me. I would love a Fiat 500 if it were not so unreliable.

Third it has to be safe. Then again, almost every car is reasonably safe these days.

Of course it has to be good on gas but if it is small it will be.

All of these will add up to value."
24-11-2018,"As someone who does triathlons and travels, I was looking for a car that I could put a full-size bicycle hard case in and close the trunk. This alone ruled out half of the sedans that did not have folding rear seats. Also, keeping a car on average 15 years to 20 years meant getting a very reliable model with low ownership costs. Lastly as this vehicle would be a commuter it had to get decent mileage in the city but also offer performance with comfort. Now when I mean decent, I am not talking about hybrid vehicles as to me the whole issue of batteries means another component to break, but something that not only gives me over 21 mpg but is fun to drive."
27-05-2018,"You need to take a pen and paper and answer the following questions.

Do i really need a car ? If yes, why ?
If the answer is NO then that's the end of it. If yes, and you are satisfied with the answer then the next question is how much are you comfortable spending.
Once budget is fixed you can go to websites like carwale or cardekho and see what all cars are available in that budget.
Do you need a hatchback, compact sedan, sedan, or crossover or SUV ? The answer depends on the places where the car is mostly intended to be used.
TEST DRIVE the car atleast twice or even thrice from multiple dealerships. No one can judge if you like driving the car except you. See the posture, height, seat comfort , visibility , engine driveability, ride quality, NVH, A.C. Etc.
Negotiate hard. If you're price conscious then take quotes from various dealerships and bargain hard for freebies or accessories. Take the dealerships track record in consideration. Do a thorough PDI from stockyard before you sign on the papers."
26-10-2019,"Everyone has a different criteria for a car. Find what you need, not what you want. If you need a pickup truck, don’t a buy Ford because it’s ”Ford” buy a reliable truck that you know you can afford and is easy to repair then save up to buy that Ford you love so much.

Personal story time: My first car was a modified honda accord and I loved it. However it got me in so much trouble (Actively and Passively) the police were called on me multiple times because I was driving around with a loud exhaust. It didn't help that I lived in a small town and got off of work late at night. I got pulled over almost every night. The car wasn't well taken cared of because I couldn't afford to. Now it sits in my driveway because I hit two deer and the timing is jumped."
27-05-2018,"There are many factors that u need to consider while buying a car…..like type of car - Hatchback, Sedan or SUV.

Which type of application you ar egoing to use for etc..

I am not a good experienced guy with cars in real…..so i will just give u a link that explains very well about one of the major things that u need to consider, that many people arent aware of……

That is - Cost of ownership."
01-10-2019,"Affordability, if I can't pay for it why even discuss it? I usually measure this in total costs divided by miles. Affordable is 50 cents per mile, unaffordable is $1.50.

Safety, airbags, antilock, crumple zones, back-up camera, good steering and braking, etc.

Capacity, carrying, towing, seating, by volume and weight.

Comfort, quiet, ac, ergonomics, convenience features.

Affordability, Safety, Capacity, and Comfort. There you have it."
02-10-2018,"A good review from a respected source, such as Consumer’s Union (Consumer Reports)
Low mileage
A previously owned vehicle: new car depreciation is just killer
Well maintained, both the interior and under the hood
A good deal: the price compares favorably, or is on par, with similar vehicles on the local market at the time
Edit: Do your homework before you go look at any cars. If something doesn’t smell right, don’t be afraid to say no. As long as you have that money in your hand, you have more power than you may think. Take your time. Remember: you’re going to live with that car for years. You don’t get a prize for buying something quickly, no matter what the car dealer says."
18-06-2018,"I only buy secondhand, so at first the general condition, millage, maintenance and having a APK (MOT) or not, but before i go look at a car in person i checked out the availability and price of spareparts, fuel economy and in the Netherlands very important the weight, the roadtax is calculated by weight and sometimes a car 1 kilo heavier will land it in a more expensive roadtax level, for a petrol car this saves you about 150 euro yearly and for a diesel it is a whopping 700 euro, a expensive kilo.

For options a airco is a must and finding a car without powersteering these days is sheer impossible, cruise control is welcome but for the rest i don’t care, except a stereo i don’t need it, and what is not on it can’t break down .

And it needs to be a stationcar, i haul each week a lot of stuff from and to fleamarkets a small comercial vehicle is not an option, sometimes i have to drive my parents."
04-10-2017,"Things you should check before buying a pre-owned vehicle.

Car History. You should never buy a car with a bad history like if the title is salvage. Also check if this vehicle has any accidents.
Maintence. See if the vehicle is running well. You can tell if it's not running well if you hear the engine squeaking. Try to rev and speed the car when test driving.
Exterior. Check the body if theres any rust, dings. Check the tires if there is anymore thread on the tires.
Make sure you can afford and negotiate the price when buying your vehicle
What to check when buying a new vehicle.

Check if it has the right specs you need it for, towing, etc.
Make sure you can afford the vehicle and negotiate the price."
28-11-2017," like to modify my cars or trucks for more performance and better looks. I also don’t like repairing stupid problems that may arise from poor build quality or lack of long term component testing, so that eliminates German vehicles.

My list of criteria includes:

Massive aftermarket support for modifications.
Relatively easy to work on in terms of performing modifications.
reliable and durable
Something that suits my personality and lifestyle
That’s about it. I’m not worried about practicality or depreciation or status. I just want a big, expensive, fun toy."
19-04-2018,"For me, two major parts are enjoyment of the interior (it doesn’t need to be Audi or Mercedes, but I’m not content with the plasticky American interiors nor the poorly fit together interiors of many Japanese and Korean brands like Hyundai and Nissan). The other is the fun to drive. CVT transmissions are an automatic no, and cars with poor steering, underpowered engines, and spongy suspension and braking are a no. I’m willing to spend a couple extra dollars for the enjoyment. I don’t want to spend my time in something that will only “get me from A to B” and only not fall apart."
03-11-2016,". When looking out for a used car for , make sure you determine how much you can spend on it.

2. Do some research on the vehicle you are looking to buy.

3. Make sure that the car you are buying is certified.

You can find a fleet of cars ranging from low to high, sedan to luxury cars, etc. In short, if you are considering buying a secondhand car, make Motor2Go as your prime choice. "
28-06-2018,"The following points are to be taken into account while buying an used car:

The year of make and the year of purchase by previous owner.
The number of kilometers clocked on the odo.
The exterior body condition for probable rust development and damages to the chassis.
The engine condition along with its service history and logs
Probable accident history of the concerned vehicle, if any.
Number of owners before the current buyer with proper ownership records."
06-06-2018,"Requirement (power, space,comfort, image)
capability to pay EMI, maintenance.
Avg running per month & type of road to be used highway / city. (low running means buy petrol , only city means buy less powerful car )
brand popularity in the area in which you stay. (for ease of service , spares, resale value)
personal preference. (i love Honda / I want SUV like that)
How many years the car will be with you. (for frequent change take a Japanese car as it gives good resale value).
etc etc."
04-04-2019,"Consider safety. People still die in car accidents! Do research on reliability and fuel economy and cost of maintenance. When you work out which car you want, go to a reputable car dealer (if you are buying used) and ensure you get it checked by an expert (you never know the true history of a used car) and try to get a car with a full service history. If buying new, consider using a car broker to bargain for you."
24-10-2018,"My cars have always been:

elegant; as in, Rolls-Royce-like
powerful; I need a six- or eight cylinder with at least 200 horsepower
durable; I expect twenty to thirty years of life with me, minimum;
economical; it must be capable of at least 25 mpg
exotic; I’m ready for a big car from China, Russia, or Brazil
If there was an alien luxury sedan, I’d have one."
30-06-2016,"First of all determine your budget. Then according to the terrain you'd drive in, determine the segment whether a hatchback, sedan, crossover or an suv. After that how much you will drive, a rough idea in kms. If you're gonna drive more than 1300kms a month, go for diesel if less then stick with the petrol version. After that the maintenance cost of the car, for this purpose you'd have to classify the car brands. And again for the resale purpose you'll have to classify the brands accordingly."
25-10-2018,"What am I PAIF ing for? I use a hand written spread sheet.

1). Credible Provenience (history). Including and often overlooked: all important questions regarding “What are your reasons for selling this piece?” (especially with a Private Party).

2). Professional inspection/Appraisal. On-line research.

3). Insurability. What are the premium payments on this thing?

4). Financeabilility (self or other), to avail a close of the sale soonest.

Not necessarily in that order.

Looking well after these four points will assuredly improve the luck of your draw.

Someone once told me “You tend to make more money when buying a device, than when selling it”."
26-06-2018,"1. If your not paying cash, what the finance charge will be over the entire loan.
2. The cost of regular service according to the manufacture guidelines.
3. Exit strategy should also be considered. (I will drive it until it has x amount of miles and it should be worth Y)
4. Resale value."
24-02-2017,1st looking…car look is very important than check comfort ..seats lether..ground clearance..and service senter of car company… you also check milege power…and also compare 2 or 3 cars at a time…in one segment…advance feature are available or not .
28-04-2018,"Accidental or not

How to check: open any door, there you’ll see rubber beading- pull it out and look carefully at small circles- these circles are put up by manufacturing units and they are spread across the body line of the whole car.. if some circles are missing that means the car has been repaired from the sides..

Similar circles are found in the boot too.

Now only the hood remains- check the underside of the hood for a thick gum like thingy and it should be spread from one end to the other.. if not- repaired!!

Then check how much the car is run on the odo and get it verified by the service centre.

Always buy from a know dealer"
31-05-2016,"firstly you may have to deside which engine is required for you its diesel or petrol

then you have to need to know that which company gives best and cheapest services in your area then safety features in car and lastly the bettre option in your budget"
28-11-2017,"Has to be a V8, run on Gasoline, be American, and actually exciting to drive."
06-06-2020,"10 Factors to Consider When Buying a Used Car:

1. Budget,

2. Vehicle history,

3. Pre-Purchase inspection,

4. Reputation,

5. Driving,

6. Lifestyle,

7. Financing,

8. Warranty,

9. Insurance,

10. Ownership and Car Title."
28-0302019,i would suggest look for accident history and most important if car has been periodically serviced as mandated
25-02-2020,Make sure the engine and other parts are still in a good condition. Take a friend who is good at identifying problems so you are not buying a junker.
06-03-2018,"I think about it as follows: I don't look at any specific cars first but try to follow this logic...

1. Start with working out a BUDGET. Whether you're planning to lease, hire purchase or just purchase outright this is probably the most important question to answer. If you're paying monthly, there are many calculators online that can assist you in working out a purchase price based on your monthly allowance. Don't forget to allow for fuel economy, type of fuel, maintenance and insurance in your calculations!

2. Next, decide whether you're buying new, lightly used/demonstrator/1 year old or just used. If you can eliminate one or two of those options then you're potential car options become narrower and easier to manage.

3. Make a list of what you NEED from a car (e.g. 4 doors, off-road ability, automatic transmission) vs. what is a NICE-TO-HAVE (e.g. Bluetooth). Everyone has differing priorities here - one person might absolutely need Bluetooth, whilst the next wouldn't even know if it was there. Once you've made this list, it's time to start looking at actual car options. Take point 1, 2 and 3 sequentially and apply them to a car catalogue, online car supermarket, car magazine or any resource which is comprehensive enough to cover most cars for sale.

At this point, I feel most people would already be at just 4 or 5 options. If you have more, then you've taken a wrong step somewhere - go back: is your budget range too wide? Have you not been specific enough in your needs? Are you SURE you don't mind whether a car is brand new or a decade old?

Some people might now be able to eliminate one or two options immediately based on past experience or brand perception.

You should now be down to 3 or 4 options. My advice...?

4. Go drive them all. Without sitting in them, driving them and being exposed to the sales team it is impossible to tease out or predict the differences between similar cars from different manufacturers. You will be surprised at how much 3 cars that are similar on paper differ in real life! With the 3 options freshly driven, hopefully one will stand out for being quieter, more attractive, or even just having a salesman who makes you feel at ease.

5. Lastly, if it comes down to it, get the one you will be proud to own. If you can turn back and look at it when you walk away or derive some joy from it after a long day's work, then all the better!"
06-04-2019,"Affordability, practicality and style.

First, and foremost, you need to shop within your budget. My sincere congrats if you don't have/need one of those. Never forget that along with a car purchase usually comes increased taxes and insurance.

Second is practicality. If you are a tradesman then a Miata may not be right for you. The vehicle should closely match how you plan to use it A commuter would probably want good economy while a tradesman would want a pickup or van.

Lastly, a last for a reason, is style. We all get romantic about shapes and designs that affect us whether it's a Corvette, a Porsche, an F-150 or a Beetle. The point is that you need to satisfy the first two criteria before you satisfy the third. If you are lucky enough to hit all three ""on the screws"" then you are indeed fortunate that your needs and tastes align. Further, if you are one who cares not a whit about style then the first two are easily obtainable among the myriad offerings of today's automobiles."
10-02-2020,"You have to look at yourself ...what kind of situation are you in (like single, married, married with kid on the way, married with kid or kids). That's a huge determiner of what kind of vehicle you should get. Obviously if you're unattached and single then the automotive world is your oyster. Really. Get whatever makes your pulse run faster. Or ....get what'll haul all your outdoor toys and get you to where the action is.

You can wade thru any number of online resources to get reviews and evaluations of just about any kind of vehicle ever made. Your part is to figure out what you want ...nobody can do that for you ...especially none of us becasue we don't *know* you. You know you so start there. You wanna sports car? 4-WD vehicle like a Jeep? A truck? Like I said, the automotive world is your oyster. And it's only a car. If you buy it, finance it, and decide you hate it ...well you can trade it in and start anew. Yeah, you'll take a hit in the wallet but these days with all the sales incentives it won't be too painful."
07-03-2016,"1. Decide what type of car you want. Coupe, sedan pick-up, SUV etc.
2. Decide what attributes are most important to you. Comfort, style, cost, handling economy whatever.
3. Pick at least three cars that meet your criteria, then check reviews on each. Reviews can be found on-line for just about anything. Check motor-head magazines.
4. Check into fleet/commercial use if any. Especially law enforcement and large corporation fleets. Cars selected are usually extensively tested before being committed as a fleet vehicle. Crown Victoria is prime example, used by Hwy Patrol, Gov agencies and taxi fleets.
5. Test drive and don't settle for the 15 minute sign and drive either. 12 hour minimum. If can't get dealer then rent one for a day from Hertz or whoever. Its worth it to find the little annoying things before hand.
6. Buy the car your wife wants."
10-03-2016,"Decide what type of vehicle you want first. Figure out what appeals to you in a way that you'll want to turn around and look at it when you leave it in a parking lot.

Figure out what will suit your lifestyle. Are you an outdoors person, do you have trailers to tow, will you be hauling supplies or anything? Do you want something fast and high performance? Do you want something luxurious?

Or do you just want something reliable that will get you to and from work?

Whatever you decide here, you'll be able to narrow it down to a few vehicles. Find some car lots that have those vehicles and go test drive them. Nothing makes a difference until you go drive them and see how they feel. Then buy the one you like the most if you can afford it."
30-04-2018,"Depends on what you like. People are somewhat split, in that they either like cars, or don't. People that like cars, usually have something they like about them, luxury, sportiness, size, speed, appearance, etc. People that don't care about them usually care more about reputation and reliability, and view cars as a necessary transportation appliance.

Some people end up liking cars that never really thought about it, and fall in love with what they buy and stick with it forever. Then there are the OCD freaks like me, who've owned pretty much every major car brand, plus many of the specialty brands, collected post war sports cars and some sedans, and ends up driving a boring generic pickup truck most of the time.

People like winners and losers, but in an industry that makes hundreds of different models with thousands of variants, there's no perfect car. There are likely many that will be good for you. If someone likes family sedans, then their experience using a Camry, Fusion, Impala, Altima, or Mazda 6 (or any others I didn't mention) will likely be the same. They are all nearly identical, other than the emotion people get all charged up with as it pertains to the brand they buy.

Same with SUVs or Pickups, or any class of car mostly. They are all so competitive, that theres more product differentiation in the marketing literature, than in the cars themselves.

Specialty cars are somewhat different. No one will mistake an Audi R8 for a Mazda Miata. But they are vastly different, and one cost 8 times the other. Same with a Corvette, or a Porsche.

So you need to ask yourself what you like. Speed or Luxury, Speed AND Luxury. Speed. Luxury. Space. None of those and just reliability.

Finally we don't know where in the world you are, but most car companies are pretty good these days. In the US, pretty much any car you buy will be a good choice, regardless of what people rattle off emotionally about the latest idiotic JD Power nonsense survey."
25-06-2019,"Drive it..

Attraction is blind, attraction is carnal. If its you who has to do the driving, take a test drive. They exist for a reason. Self clearing wind screen and space age sunroof will only get you so far if you don't like driving it. But yes, pay attention to safety ratings/features. Some people like plush comfort, others admire straight line performance. Personally I cannot resist back breaking, sharp handling cars.

So take a test drive.. these are only my 2 cents. Nadav, Ben and Michael have written objective and practical answers."
16-06-2020,"Assuming money is no option, because that is a big one . If so then look at your needs.

Is it for work or pleasure? Do you commute? Short or long trips? Do you have a family? Kids? A dog? What is the climate like where you live? Do you need air conditioning? Do you haul stuff? Would a half ton truck be useful to you?"
29-02-2019,"I’ll make the presumption that you are relatively new to driving and as such are possibly going to have a minor ‘dingle’, so do not buy new, the newer the vehicle the higher the repair costs.

Ideally get a good old ‘basic’ car from the 70s or 80s for a while, as these provide a better driving experience in the sense that you get more feedback and as such you will obtain a better understanding of road conditions, better still ride a motorcycle, your understanding will be even greater, the more modern the car the more remote you are from what what is actually occurring.

The MAIN thing is that it is ‘safe’ as in no major faults that could be the cause of an accident, so get any potential vehicles checked by a suitably qualified person prior to purchase, be aware that second hand is typically ‘someone else’s problems’ so it is also a good idea to keep a portion of your car budget and set it aside for maintenance, about 25% is a good safe figure.

Unfortunately buying new is NO guarantee that you will not have issues soon after purchase, so unless you have an unlimited supply of income, setting money aside at the start will put you ‘ahead of the game’ and help prevent any car purchase from becoming a real ‘nightmare’ and reduce it to perhaps just a mere inconvenience if or when problems do arise.

Buy a car you can own outright, car finance is for the gullible and the impatient, no car is worth the additional cost of paying interest on borrowed money.

The other MAIN factor is ergonomics, if you are tall this is going to be a real problem finding something suitable, look up relevant data regarding sitting ergonomically correct, you need to be in a ‘relaxed’ position for ease of control, this does not mean that relaxed so you can fall asleep, but relaxed in that you are not holding yourself in an odd or uncomfortable manner to operate the controls, it needs to be ‘natural’.

Too many tall (5? 10? +) people need to recline the seat too far back just to be able to see out the windscreen which then means they must hold the steering wheel at arms length, a rather tiring position, this also puts an ’unnatural’ angle on the neck and this can lead to problems down the track, neck/spine problems are not fun. This laid back position also puts the door pillars in your line of sight out the vehicle sides, blocking your view of potential hazards, the internal rear view mirror also needs to be in a position whereby it does NOT block ANY of your forward vision, again this is going to be difficult to find.

Too many cars also have the foot pedals far too close together, so you need a model that does fit you in this respect also, this will help prevent accidents."
21-02-2020,"Know the Invoice Price

Once you’ve settled on what car is right for you, look up the invoice price for that car in our Buyer’s Guide. Invoice price is what the dealer pays the manufacturer for the car; the manufacturer’s suggested retail price (MSRP, or “sticker price”) includes hundreds—usually thousands—of dollars of profit for the dealer. With the exception of all-new or very popular models, you should be able to get a new car for closer to invoice than MSRP. Knowing the invoice price of your car will tell the dealer that you mean business and expect a good deal. Don’t walk into the dealership without this information.

Check the Manufacturer’s Website for Rebates

Many buyers will qualify for multiple rebates, some of which may not even be made public. You might belong to organizations or receive coupons in the mail that entitle you to additional rebates. Be aware of all rebates for which you qualify and make sure you receive them. Dealers are known for not giving buyers every rebate available to them, instead keeping one or two as additional profit.

Research the Dealers

Buying from a cooperative and fair dealer will save you money and headaches. There are a number of websites that allow people to post reviews of dealerships, but their coverage is spotty and incomplete. If you can’t find online reviews of the dealer you are considering, just talk to people. Your friends and neighbors purchase cars and should be honest with you about whether they were happy with their car or dealer.

Check Your Credit History

Most people who shop for cars will need a loan. How much that loan costs will depend on your credit history, and knowing your credit history will give you a better idea what to expect from lenders. The Fair and Accurate Credit Transaction Act of 2003 (FACTA) allows every consumer to get a free copy of his or her credit report once a year from each of the three major credit-reporting agencies (TransUnion, Experian, and Equifax). Get a copy of your credit report, and check it for accuracy. Pay the extra few dollars to get your credit score as well, as it is one of the major factors that banks use to determine your creditworthiness.

Get Your Own Financing

The biggest profit center for a car dealership is its finance department. Dealers contract with banks to get the best rates available but might not actually give you those rates. They might get you a car loan for 4.9 percent APR but draw up your finance contract at 5.9 percent. That one-percent markup is strictly profit for the dealer. You can often get a better interest rate from your local bank or credit union, or you can present the rates you were offered elsewhere to your salesman and challenge him to match or beat them. That being said, promotional rates from manufacturers—sometimes as low as zero percent—can be tough to beat.

Time Your Purchase

Dealers run on a month-to-month basis. At the end of the month, many will accept lower offers to reach their goals and qualify for manufacturer bonuses. If you’re not picky about having the latest and greatest, the end of a model year is a great time to get good deals on remaining inventory. And December—particularly the last week before the new year—is a slow time for car sales, so if you can hack some time out of your holiday-shopping schedule, it’s a wise time to buy.

Also, most dealerships are busier on weekends. The weekdays are generally slow, especially in the morning. If you come into the dealership on a midweek morning when business is slow, the salespeople are more likely to make a good deal as well. They need sales and they want to look busy, which keeps them motivated to give you a better deal and earn your business.

Do Not Buy a Car on Your First Visit

Use the first visit to look at and test-drive the car(s) you are interested in. Gather your information and then leave, and be adamant that you will not be buying a car today. This will communicate to the dealer that you are not going to be bullied. Watch what you say to the salespeople—especially if they ask you how much you are prepared to pay monthly—because whatever you say will be used as a starting point from which the dealer will go up when negotiations eventually start.

Get Internet Quotes from Several Dealers

Get quotes from multiple dealers before you ever visit any of them. If dealers know they are being pitted against other stores, it will be easier for you to get their best offer right off the bat, and waltzing into a dealership with a first offer already in hand gives you an advantage in negotiations.

Make an Appointment with the Sales Manager

Once your research is done and you are ready to head to the dealership to purchase a new car, call ahead and make an appointment. By calling a sales manager to make your appointment, you communicate that you are serious about this transaction and know what you are doing. You will still be paired with a salesman when you arrive, but your chances improve of getting a straight shooter who knows you won’t be easy fodder.

There is no guarantee you will get a good deal on a new-car purchase, nor is there a set price to negotiate toward with any car; pricing always varies with content, age, supply, and demand. But following these rules will start you in the right direction to get the best deal possible on your new car."
12-01-2018,"One tip: You should know that’s it's even more expensive to buy a new vehicle than you thought. In fact, when you buy a new car, just the extra costs incurred ( compared to buying used.) will easily pay for a used car.

It's starts at the car dealer. When you buy a loaf of bread, do you see additional costs for “delivery” and “preparation” on the receipt? You will when you buy a car. You may also see financing charges (not interest, but a charge for the privilege of paying interest!). There are too many other dealer nickel and dime schemes to list. Like adding high profit, low value items such as “undercoating” or floormats. These little trips into your wallet add up to hundreds, if not thousands of dollars.

The government will want it's money too. Oh my, look at that sales tax/VAT amount. Depending on your jurisdiction the sales tax alone will pay for a nice preowned car.

Your insurance costs will be high, because you’ll want to protect your expensive “investment” against total loss and theft.

To make sure your new car warranty is valid, its best to have work done at the dealer, where labor rates are 50% higher than independant shops. In any case, you’ll have to make sure any repair shop is using “genuine” manufacturer parts -more $$$.

And then there’s depreciation. Yup, the moment your shiny new car leaves the dealer, it's a used car. Count on losing a nice pile of cash daily.

Buying a new model, first year release? Congratulations, you are now an unpaid beta tester for the manufacturer. Prepare for some fun times in court proving that the fault in your new model is a manufacturing oopsie.

I do visit a new car dealer occasionally and I get the sales person to fill out the paperwork (on a slow day at the dealer) just to remind myself how much money I've saved over the years buying used. I estimate it's about $100,000 so far."
10-02-2018,"When looking for a vehicle, I start with deciding what I can afford.

I then decide what my needs are, Car, truck, SUV, or ?.

Once I have decided what I can afford, and what type of vehicle I need, I then list all the cars that fit my wants and needs.

Next is research! I start reading everything I can on the different vehicles that are still on my list. Anything that does not have high marks in dependability are eliminated. Of the remaining cars. It all depends what problems the vehicle has as to whether or not it stays on the list. I buy a car to drive, not to get to know my mechanic better and contribute to his kids college fund.

At this point I get into performance. The vehicle MUST handle well, have very good brakes, and the performance. If any of these are substandard, they are off my list!

By now, my list is pretty short. I start driving what is left on the list. If it isn’t comfortable, or it just doesn’t seem to fit me, it’s off of the list.

Then I decide what options I need and which ones I want. Find the cars still on my list and check out their prices.

Only now do I let my feelings/emotions enter into the picture.

Using this system, I have been extremely fortunate in my choices. I can only think of one car that I don’t think was the best choice. I actually didn’t follow my system, instead I thought it was too good to pass on and I bought it. A very short time later, I decided to sell it off. The very next morning, on my way to work, the car caught fire and was totaled. Best thing that ever happened with that car.

I’m not saying my system is the best out their, but it sure has served me well. My system does take a LOT of time, but I enjoy it to the fullest, and the results are well worth it.

Sorry for the length of this response, but buying a vehicle is a huge investment, and this should not be taken lightly."
